Longitude,Latitude,Pixel,Scan
110.743812,-89.8571564,11500,400
110.949804,-89.8562799,11600,400
111.153281,-89.8554017,11700,400
111.354286,-89.8545217,11800,400
111.552857,-89.8536401,11900,400
111.747083,-89.8527656,11999,400
55.6846476,-89.9282554,0,500
56.5009182,-89.9281687,100,500
57.314989,-89.9280675,200,500
58.126542,-89.9279519,300,500
58.9352651,-89.9278219,400,500
59.7408527,-89.9276775,500,500
60.5430068,-89.927519,600,500
61.3414372,-89.9273463,700,500
62.1358622,-89.9271596,800,500
62.926009,-89.926959,900,500
63.7116143,-89.9267446,1000,500
64.4924246,-89.9265165,1100,500
65.2681966,-89.9262749,1200,500
66.0386976,-89.9260199,1300,500
66.8037054,-89.9257517,1400,500
67.5630092,-89.9254704,1500,500
68.316409,-89.925176,1600,500
69.0637163,-89.9248689,1700,500
69.8047536,-89.9245492,1800,500
70.5393551,-89.9242169,1900,500
71.2673661,-89.9238724,2000,500
71.9886432,-89.9235157,2100,500
72.7030544,-89.923147,2200,500
73.4104783,-89.9227666,2300,500
74.1108047,-89.9223745,2400,500
74.803934,-89.921971,2500,500
75.489777,-89.9215562,2600,500
76.1682549,-89.9211304,2700,500
76.8392986,-89.9206936,2800,500
77.5028487,-89.9202462,2900,500
78.1588552,-89.9197882,3000,500
78.8072773,-89.9193198,3100,500
79.4480827,-89.9188413,3200,500
80.0812474,-89.9183528,3300,500
80.7067556,-89.9178545,3400,500
81.3245991,-89.9173466,3500,500
81.9347772,-89.9168292,3600,500
82.5372958,-89.9163026,3700,500
83.1321677,-89.9157669,3800,500
83.7194119,-89.9152222,3900,500
84.2990534,-89.9146689,4000,500
84.8711227,-89.9141069,4100,500
85.4356554,-89.9135366,4200,500
85.9926923,-89.912958,4300,500
86.5422785,-89.9123714,4400,500
87.0844637,-89.9117768,4500,500
87.6193013,-89.9111746,4600,500
88.1468486,-89.9105647,4700,500
88.6671659,-89.9099475,4800,500
89.1803172,-89.9093229,4900,500
89.6863688,-89.9086913,5000,500
90.18539,-89.9080526,5100,500
90.6774522,-89.9074072,5200,500
91.162629,-89.9067551,5300,500
91.640996,-89.9060964,5400,500
92.1126304,-89.9054314,5500,500
92.5776108,-89.9047601,5600,500
93.0360173,-89.9040827,5700,500
93.4879309,-89.9033993,5800,500
93.9334338,-89.90271,5900,500
94.3726087,-89.902015,6000,500
94.8055392,-89.9013143,6100,500
95.2323092,-89.9006082,6200,500
95.653003,-89.8998967,6300,500
96.0677052,-89.89918,6400,500
96.4765005,-89.8984581,6500,500
96.8794736,-89.8977312,6600,500
97.276709,-89.8969993,6700,500
97.6682912,-89.8962627,6800,500
98.0543042,-89.8955213,6900,500
98.4348319,-89.8947753,7000,500
98.8099576,-89.8940249,7100,500
99.1797642,-89.89327,7200,500
99.5443338,-89.8925108,7300,500
99.9037483,-89.8917473,7400,500
100.258088,-89.8909797,7500,500
100.607435,-89.8902081,7600,500
100.951866,-89.8894326,7700,500
101.291462,-89.8886531,7800,500
101.626301,-89.8878699,7900,500
101.956458,-89.887083,8000,500
102.28201,-89.8862924,8100,500
102.603033,-89.8854983,8200,500
102.9196,-89.8847007,8300,500
103.231785,-89.8838997,8400,500
103.53966,-89.8830954,8500,500
103.843297,-89.8822878,8600,500
104.142766,-89.8814771,8700,500
104.438135,-89.8806632,8800,500
104.729474,-89.8798462,8900,500
105.01685,-89.8790263,9000,500
105.300328,-89.8782034,9100,500
105.579975,-89.8773777,9200,500
105.855853,-89.8765492,9300,500
106.128027,-89.8757179,9400,500
106.396559,-89.8748839,9500,500
106.66151,-89.8740472,9600,500
106.922939,-89.873208,9700,500
107.180907,-89.8723663,9800,500
107.43547,-89.871522,9900,500
107.686687,-89.8706754,10000,500
107.934613,-89.8698263,10100,500
108.179304,-89.868975,10200,500
108.420814,-89.8681213,10300,500
108.659196,-89.8672654,10400,500
108.894503,-89.8664073,10500,500
109.126785,-89.8655471,10600,500
109.356094,-89.8646848,10700,500
109.582479,-89.8638203,10800,500
109.805989,-89.8629539,10900,500
110.026671,-89.8620855,11000,500
110.244573,-89.8612151,11100,500
110.45974,-89.8603428,11200,500
110.672218,-89.8594687,11300,500
110.882051,-89.8585927,11400,500
111.089284,-89.857715,11500,500
111.293958,-89.8568354,11600,500
111.496115,-89.8559541,11700,500
111.695798,-89.8550712,11800,500
111.893046,-89.8541866,11900,500
112.085962,-89.8533092,11999,500
55.7103309,-89.9292803,0,600
56.5383783,-89.9291931,100,600
57.3641474,-89.9290911,200,600
58.1873063,-89.9289745,300,600
59.0075297,-89.9288433,400,600
59.8244991,-89.9286976,500,600
60.637904,-89.9285374,600,600
61.4474424,-89.928363,700,600
62.2528211,-89.9281743,800,600
63.0537566,-89.9279716,900,600
63.8499756,-89.9277549,1000,600
64.6412151,-89.9275243,1100,600
65.427223,-89.92728,1200,600
66.2077585,-89.9270222,1300,600
66.9825921,-89.926751,1400,600
67.751506,-89.9264664,1500,600
68.5142944,-89.9261688,1600,600
69.2707633,-89.9258583,1700,600
70.0207307,-89.9255349,1800,600
70.7640266,-89.925199,1900,600
71.5004932,-89.9248506,2000,600
72.2299843,-89.9244899,2100,600
72.9523657,-89.9241171,2200,600
73.6675147,-89.9237325,2300,600
74.3753202,-89.9233361,2400,600
75.0756823,-89.9229282,2500,600
75.7685119,-89.9225089,2600,600
76.4537308,-89.9220785,2700,600
77.1312711,-89.9216371,2800,600
77.8010752,-89.9211849,2900,600
78.463095,-89.9207221,3000,600
79.1172919,-89.9202489,3100,600
79.7636364,-89.9197655,3200,600
80.4021077,-89.919272,3300,600
81.0326934,-89.9187686,3400,600
81.6553887,-89.9182556,3500,600
82.2701969,-89.9177331,3600,600
82.8771279,-89.9172014,3700,600
83.4761989,-89.9166604,3800,600
84.0674332,-89.9161106,3900,600
84.6508603,-89.915552,4000,600
85.2265155,-89.9149848,4100,600
85.7944392,-89.9144092,4200,600
86.354677,-89.9138253,4300,600
86.907279,-89.9132334,4400,600
87.4522998,-89.9126335,4500,600
87.9897977,-89.9120259,4600,600
88.5198351,-89.9114108,4700,600
89.0424774,-89.9107882,4800,600
89.5577933,-89.9101584,4900,600
90.0658543,-89.9095214,5000,600
90.5667346,-89.9088775,5100,600
91.0605103,-89.9082268,5200,600
91.54726,-89.9075694,5300,600
92.027064,-89.9069056,5400,600
92.5000041,-89.9062353,5500,600
92.9661635,-89.9055588,5600,600
93.4256269,-89.9048762,5700,600
93.8784798,-89.9041876,5800,600
94.3248086,-89.9034932,5900,600
94.7647003,-89.9027931,6000,600
95.1982426,-89.9020874,6100,600
95.6255236,-89.9013763,6200,600
96.0466315,-89.9006598,6300,600
96.4616547,-89.8999381,6400,600
96.8706816,-89.8992112,6500,600
97.2738006,-89.8984794,6600,600
97.6710999,-89.8977427,6700,600
98.0626673,-89.8970012,6800,600
98.4485902,-89.896255,6900,600
98.8289557,-89.8955043,7000,600
99.2038502,-89.8947491,7100,600
